Date : 2019-09-25 16:45:04
Directory : c:\WORK\whrd\webapp-meituan
Total : 88 files,  3968 codes, 87 comments, 209 blanks, all 4264 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src\page\index\Home\ContentList\index.scss        | SCSS             |         73 |          0 |          0 |         73 |
| src\page\index\Home\Header\Header.jsx             | JavaScript React |         13 |          4 |          3 |         20 |
| src\page\index\Home\Header\Header.scss            | SCSS             |          8 |          0 |          0 |          8 |
| src\page\index\Home\Home.jsx                      | JavaScript React |          9 |          0 |          2 |         11 |
| src\page\index\Home\SearchBar\SearchBar.jsx       | JavaScript React |         17 |          4 |          3 |         24 |
| src\page\index\Home\SearchBar\SearchBar.scss      | SCSS             |         71 |          0 |          1 |         72 |
| src\page\index\Main\Container.jsx                 | JavaScript React |          9 |          0 |          4 |         13 |
| src\page\index\Main\Main.jsx                      | JavaScript React |         54 |          0 |          3 |         57 |
| src\page\index\Main\Main.scss                     | SCSS             |          0 |          0 |          1 |          1 |
| src\page\index\My\index.jsx                       | JavaScript React |         54 |          4 |          4 |         62 |
| src\page\index\My\index.scss                      | SCSS             |         37 |          0 |          0 |         37 |
| src\page\index\Order\index.jsx                    | JavaScript React |        108 |         11 |         11 |        130 |
| src\page\index\Order\index.scss                   | SCSS             |        104 |          0 |          2 |        106 |
| src\page\index\config.js                          | JavaScript       |          7 |          0 |          0 |          7 |
| src\page\index\index.html                         | HTML             |         13 |          0 |          0 |         13 |
| src\page\index\index.js                           | JavaScript       |         14 |          0 |          3 |         17 |
| src\page\index\reducers\main.js                   | JavaScript       |          7 |          0 |          2 |          9 |
| src\page\index\reducers\tabReducer.js             | JavaScript       |         22 |          0 |          5 |         27 |
| src\page\index\store.js                           | JavaScript       |         19 |          2 |          5 |         26 |
| src\static\rem.js                                 | JavaScript       |          9 |          1 |          5 |         15 |
| src\static\reset.css                              | CSS              |         45 |          1 |          1 |         47 |
| webpack.config.build.js                           | JavaScript       |          0 |          0 |          1 |          1 |
| webpack.config.dev.js                             | JavaScript       |        103 |          5 |          5 |        113 |
| Total                                             |                  |      3,968 |         87 |        209 |      4,264 |
+---------------------------------------------------+------------------+------------+------------+------------+------------+
